1902,0
1912,0
1913,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,1
1922,1
1923,1
1924,0
1925,0
1926,0
1927,0
1928,1
1929,0
1930,0
1931,0
1932,1
1933,0
1934,0
1935,0
1936,0
1937,1
1938,0
1939,0
1940,2
1941,1
1942,2
1943,0
1944,1
1945,0
1946,0
1947,2
1948,1
1949,1
1950,2
1951,3
1952,2
1953,3
1954,1
1955,2
1956,3
1957,2
1958,1
1959,4
1960,1
1961,4
1962,1
1963,3
1964,2
1965,4
1966,1
1967,2
1968,2
1969,2
1970,1
1971,3
1972,3
1973,0
1974,3
1975,4
1976,3
1977,6
1978,3
1979,5
1980,4
1981,2
1982,2
1983,2
1984,1
1985,4
1986,7
1987,4
1988,5
1989,3
1990,4
1991,1
1992,5
1993,8
1994,7
1995,9
1996,8
1997,8
1998,18
1999,14
2000,20
2001,15
2002,20
2003,25
2004,19
2005,19
2006,18
2007,15
2008,14
2009,15
2010,12
2011,18
2012,15
2013,12
2014,11
2015,10
2016,17
2017,22
2018,16
2019,23
2020,9
