1902,0
1912,0
1913,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,2
1943,2
1944,2
1945,3
1946,1
1947,1
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,1
1960,1
1961,0
1962,1
1963,0
1964,1
1965,0
1966,2
1967,0
1968,2
1969,0
1970,0
1971,2
1972,1
1973,4
1974,1
1975,4
1976,3
1977,2
1978,6
1979,6
1980,6
1981,6
1982,8
1983,5
1984,6
1985,4
1986,6
1987,6
1988,11
1989,8
1990,9
1991,9
1992,14
1993,13
1994,10
1995,11
1996,7
1997,14
1998,17
1999,11
2000,19
2001,22
2002,21
2003,30
2004,25
2005,33
2006,41
2007,34
2008,66
2009,68
2010,88
2011,88
2012,112
2013,132
2014,174
2015,272
2016,444
2017,568
2018,560
2019,428
2020,104
