1902,1
1912,1
1913,2
1915,4
1916,1
1917,1
1918,3
1919,2
1920,5
1921,3
1922,7
1923,2
1924,1
1925,6
1926,3
1927,2
1928,2
1929,6
1930,12
1931,20
1932,27
1933,35
1934,34
1935,40
1936,46
1937,54
1938,36
1939,38
1940,37
1941,46
1942,46
1943,49
1944,36
1945,33
1946,35
1947,30
1948,34
1949,26
1950,23
1951,24
1952,29
1953,48
1954,36
1955,23
1956,33
1957,40
1958,34
1959,41
1960,34
1961,36
1962,33
1963,27
1964,35
1965,33
1966,26
1967,44
1968,29
1969,47
1970,46
1971,76
1972,82
1973,70
1974,78
1975,60
1976,81
1977,76
1978,77
1979,71
1980,65
1981,66
1982,59
1983,51
1984,54
1985,59
1986,67
1987,86
1988,78
1989,76
1990,58
1991,74
1992,56
1993,52
1994,83
1995,86
1996,93
1997,87
1998,93
1999,119
2000,130
2001,120
2002,150
2003,158
2004,172
2005,227
2006,276
2007,327
2008,353
2009,457
2010,428
2011,537
2012,710
2013,810
2014,783
2015,763
2016,730
2017,763
2018,623
2019,172
2020,31
