1902,0
1912,0
1913,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,1
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,1
1950,2
1951,1
1952,0
1953,1
1954,1
1955,2
1956,0
1957,2
1958,0
1959,0
1960,0
1961,0
1962,0
1963,2
1964,1
1965,0
1966,0
1967,1
1968,0
1969,0
1970,0
1971,1
1972,2
1973,3
1974,1
1975,0
1976,1
1977,1
1978,0
1979,2
1980,0
1981,0
1982,4
1983,2
1984,4
1985,2
1986,2
1987,0
1988,5
1989,5
1990,2
1991,4
1992,2
1993,5
1994,3
1995,4
1996,2
1997,6
1998,8
1999,6
2000,6
2001,4
2002,9
2003,6
2004,7
2005,13
2006,11
2007,6
2008,23
2009,26
2010,24
2011,32
2012,38
2013,45
2014,46
2015,61
2016,62
2017,124
2018,158
2019,104
2020,6
