1966,1
1968,1
1971,1
1973,1
1975,1
1976,1
1979,1
1981,2
1984,1
1985,1
1986,1
1988,1
1989,2
1990,1
1993,3
1995,1
1996,1
1997,3
1999,3
2001,3
2002,3
2003,3
2004,1
2005,3
2006,2
2007,2
2008,5
2009,6
2010,9
2011,7
2012,5
2013,9
2014,3
2015,8
2016,9
2017,8
2018,10
2019,7
2020,2
